品种,批发市场,最低价,最高价,平均价,发布日期
洋白菜,新疆兵团农二师库尔勒市孔雀农副...,0.5,1.0,0.75,2025-06-23
大白菜,新疆兵团农二师库尔勒市孔雀农副...,1.0,1.5,1.25,2025-06-23
小白菜,新疆兵团农二师库尔勒市孔雀农副...,1.25,2.0,1.62,2025-06-23
大白菜,沈阳盛发菜果批发有限公司,0.4,0.6,0.5,2025-06-23
小白菜,沈阳盛发菜果批发有限公司,1.0,1.2,1.1,2025-06-23
大白菜,北京新发地批发市场,0.4,0.55,0.47,2025-06-23
小白菜,北京新发地批发市场,0.7,1.0,0.85,2025-06-23
大白菜,江西永丰县农产品批发中心市场,0.0,0.0,1.4,2025-06-23
洋白菜,江西永丰县农产品批发中心市场,0.0,0.0,1.25,2025-06-23
大白菜,南京农副产品物流中心,0.65,0.75,0.7,2025-06-23
洋白菜,甘肃定西市安定区马铃薯综合交易...,1.0,1.25,1.12,2025-06-23
大白菜,海口市菜篮子江楠农产品批发市场,0.0,0.0,1.3,2025-06-23
大白菜,红星实业集团有限公司红星农副产...,0.8,0.9,0.85,2025-06-23
小白菜,红星实业集团有限公司红星农副产...,1.0,1.5,1.25,2025-06-23
洋白菜,徐州七里沟农副产品中心批发市场,0.8,1.0,0.9,2025-06-23
大白菜,徐州七里沟农副产品中心批发市场,0.6,0.7,0.65,2025-06-23
小白菜,徐州七里沟农副产品中心批发市场,1.0,1.5,1.25,2025-06-23
大白菜,合肥周谷堆农产品批发市场,0.5,0.65,0.62,2025-06-23
洋白菜,甘肃酒泉春光农产品市场有限责任...,1.3,1.5,1.4,2025-06-23
大白菜,甘肃酒泉春光农产品市场有限责任...,0.45,0.55,0.5,2025-06-23
小白菜,甘肃酒泉春光农产品市场有限责任...,1.8,2.0,1.9,2025-06-23
大白菜,重庆双福国际农贸城,0.6,0.7,0.65,2025-06-23
洋白菜,重庆双福国际农贸城,0.5,0.6,0.55,2025-06-23
大白菜,晋城市绿盛农工商实业有限公司农...,0.6,0.6,0.6,2025-06-23
洋白菜,晋城市绿盛农工商实业有限公司农...,0.5,0.5,0.5,2025-06-23
大白菜,两湖绿谷物流股份有限公司,0.65,0.75,0.7,2025-06-23
小白菜,两湖绿谷物流股份有限公司,1.0,1.2,1.1,2025-06-23
洋白菜,湖南长沙马王堆农产品股份有限公司,0.4,0.8,0.6,2025-06-23
大白菜,湖南长沙马王堆农产品股份有限公司,0.8,1.0,0.9,2025-06-23
大白菜,新疆通汇蔬菜瓜果批发市场,0.4,2.0,0.55,2025-06-23
小白菜,新疆通汇蔬菜瓜果批发市场,1.0,5.0,1.25,2025-06-23
小白菜,宁夏四季鲜农产品综合批发市场,0.65,0.95,0.8,2025-06-23
大白菜,宁夏四季鲜农产品综合批发市场,0.28,0.4,0.34,2025-06-23
大白菜,安徽省淮北市中瑞农产品批发市场,0.0,0.0,0.9,2025-06-23
洋白菜,安徽省淮北市中瑞农产品批发市场,0.0,0.0,0.7,2025-06-23
洋白菜,江苏凌家塘农副产品批发市场,0.3,0.5,0.4,2025-06-23
大白菜,江苏凌家塘农副产品批发市场,0.5,0.7,0.55,2025-06-23
小白菜,江苏凌家塘农副产品批发市场,1.0,2.5,2.0,2025-06-23
洋白菜,黄冈市黄商三利农产品有限责任公司,1.6,2.0,1.8,2025-06-23
大白菜,黄冈市黄商三利农产品有限责任公司,0.8,1.0,0.9,2025-06-23
小白菜,黄冈市黄商三利农产品有限责任公司,1.6,2.0,1.8,2025-06-23
洋白菜,新疆乌鲁木齐凌庆蔬菜果品有限公司,1.25,1.5,1.37,2025-06-23
大白菜,新疆乌鲁木齐凌庆蔬菜果品有限公司,0.45,0.5,0.47,2025-06-23
大白菜,金乡凯盛国际农产品物流园,0.5,0.6,0.55,2025-06-23
大白菜,海南凤翔蔬菜批发市场,0.0,0.0,1.3,2025-06-23
小白菜,海南凤翔蔬菜批发市场,0.0,0.0,1.3,2025-06-23
大白菜,厦门市同安闽南果蔬批发市场,0.5,1.1,0.65,2025-06-23
大白菜,浙中农副产品物流中心,0.5,1.0,0.8,2025-06-23
洋白菜,甘肃武山县蔬菜事业管理局,0.3,0.4,0.35,2025-06-23
大白菜,甘肃武山县蔬菜事业管理局,0.7,0.8,0.75,2025-06-23
小白菜,甘肃武山县蔬菜事业管理局,1.2,1.3,1.25,2025-06-23
洋白菜,内蒙古呼和浩特市东瓦窑农副产品...,0.4,1.3,0.8,2025-06-23
大白菜,内蒙古呼和浩特市东瓦窑农副产品...,0.65,0.75,0.7,2025-06-23
小白菜,内蒙古呼和浩特市东瓦窑农副产品...,1.0,1.5,1.2,2025-06-23
大白菜,河南金牛大别山农产品现代物流中心,0.25,2.0,0.6,2025-06-23
洋白菜,河南金牛大别山农产品现代物流中心,0.25,2.5,0.6,2025-06-23
小白菜,河南金牛大别山农产品现代物流中心,0.9,4.0,1.1,2025-06-23
大白菜,天津韩家墅农产品批发市场,0.4,0.5,0.45,2025-06-23
洋白菜,天津韩家墅农产品批发市场,0.6,0.9,0.75,2025-06-23
大白菜,山西阳泉蔬菜瓜果批发交易市场,0.0,0.0,0.55,2025-06-23
洋白菜,山西阳泉蔬菜瓜果批发交易市场,0.0,0.0,0.35,2025-06-23
大白菜,石家庄国际农产品批发交易中心,0.4,0.55,0.47,2025-06-23
洋白菜,石家庄国际农产品批发交易中心,0.4,0.8,0.6,2025-06-23
洋白菜,广东汕头农副产品批发中心市场,0.8,1.1,0.95,2025-06-23
大白菜,广东汕头农副产品批发中心市场,1.0,1.6,1.3,2025-06-23
小白菜,广东汕头农副产品批发中心市场,1.4,2.5,1.95,2025-06-23
大白菜,成都市农产品中心批发市场,0.45,0.65,0.55,2025-06-23
洋白菜,成都市农产品中心批发市场,0.2,0.45,0.3,2025-06-23
洋白菜,襄阳市洪沟农副产品有限公司,0.0,0.0,0.35,2025-06-23
大白菜,襄阳市洪沟农副产品有限公司,0.0,0.0,0.65,2025-06-23
大白菜,江苏宜兴蔬菜副食品批发市场,1.0,1.2,1.1,2025-06-23
洋白菜,江苏宜兴蔬菜副食品批发市场,0.5,0.7,0.6,2025-06-23
大白菜,浙江省嘉善县浙北果蔬批发交易中心,0.7,0.9,0.8,2025-06-23
洋白菜,福建福鼎闽浙边界农贸中心市场,0.8,1.3,0.9,2025-06-23
大白菜,福建福鼎闽浙边界农贸中心市场,0.25,1.1,0.6,2025-06-23
小白菜,福建福鼎闽浙边界农贸中心市场,1.15,1.7,1.3,2025-06-23
大白菜,吴忠市鑫鲜农副产品市场有限公司,0.3,2.2,0.3,2025-06-23
小白菜,吴忠市鑫鲜农副产品市场有限公司,0.5,3.5,1.1,2025-06-23
大白菜,辽宁鞍山宁远农产品批发市场,0.5,0.5,0.5,2025-06-23
